feature,baseline_missing_pct,production_missing_pct,baseline_dtype,production_dtype,missing_increase
FLAG_DOCUMENT_11,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_5,0.0,0.0,int64,int64,0.0
FLAG_MOBIL,0.0,0.0,int64,int64,0.0
DAYS_REGISTRATION,0.0,0.0,float64,float64,0.0
FLAG_DOCUMENT_10,0.0,0.0,int64,int64,0.0
FLAG_EMAIL,0.0,0.0,int64,int64,0.0
DAYS_LAST_PHONE_CHANGE,0.0,0.0,float64,float64,0.0
FLAG_DOCUMENT_14,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_21,0.0,0.0,int64,int64,0.0
NAME_INCOME_TYPE,0.0,0.0,str,str,0.0
HOUR_APPR_PROCESS_START,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_9,0.0,0.0,int64,int64,0.0
FLAG_WORK_PHONE,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_16,0.0,0.0,int64,int64,0.0
FLAG_OWN_REALTY,0.0,0.0,str,str,0.0
DAYS_EMPLOYED,0.0,0.0,int64,int64,0.0
REG_REGION_NOT_LIVE_REGION,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_4,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_17,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_12,0.0,0.0,int64,int64,0.0
DAYS_ID_PUBLISH,0.0,0.0,int64,int64,0.0
NAME_FAMILY_STATUS,0.0,0.0,str,str,0.0
FLAG_DOCUMENT_13,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_2,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_15,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_8,0.0,0.0,int64,int64,0.0
REG_CITY_NOT_LIVE_CITY,0.0,0.0,int64,int64,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0,int64,int64,0.0
FLAG_CONT_MOBILE,0.0,0.0,int64,int64,0.0
LIVE_REGION_NOT_WORK_REGION,0.0,0.0,int64,int64,0.0
CNT_FAM_MEMBERS,0.01,0.0,float64,float64,-0.01
AMT_ANNUITY,0.01,0.0,float64,float64,-0.01
WALLSMATERIAL_MODE,50.580000000000005,50.54054054054053,str,str,-0.03945945945947216
AMT_GOODS_PRICE,0.12,0.0,float64,float64,-0.12
YEARS_BUILD_MODE,65.86999999999999,65.67567567567568,float64,float64,-0.19432432432431312
YEARS_BUILD_AVG,65.86999999999999,65.67567567567568,float64,float64,-0.19432432432431312
YEARS_BUILD_MEDI,65.86999999999999,65.67567567567568,float64,float64,-0.19432432432431312
NAME_TYPE_SUITE,0.49,0.2702702702702703,str,str,-0.2197297297297297
EXT_SOURCE_2,0.22,0.0,float64,float64,-0.22
FLOORSMAX_AVG,49.69,49.45945945945946,float64,float64,-0.23054054054053807
FLOORSMAX_MEDI,49.69,49.45945945945946,float64,float64,-0.23054054054053807
FLOORSMAX_MODE,49.69,49.45945945945946,float64,float64,-0.23054054054053807
LIVINGAPARTMENTS_MODE,67.86999999999999,67.56756756756756,float64,float64,-0.30243243243242546
LIVINGAPARTMENTS_AVG,67.86999999999999,67.56756756756756,float64,float64,-0.30243243243242546
LIVINGAPARTMENTS_MEDI,67.86999999999999,67.56756756756756,float64,float64,-0.30243243243242546
OBS_30_CNT_SOCIAL_CIRCLE,0.33999999999999997,0.0,float64,float64,-0.33999999999999997
DEF_30_CNT_SOCIAL_CIRCLE,0.33999999999999997,0.0,float64,float64,-0.33999999999999997
OBS_60_CNT_SOCIAL_CIRCLE,0.33999999999999997,0.0,float64,float64,-0.33999999999999997
DEF_60_CNT_SOCIAL_CIRCLE,0.33999999999999997,0.0,float64,float64,-0.33999999999999997
HOUSETYPE_MODE,49.94,49.45945945945946,str,str,-0.4805405405405381
FLOORSMIN_MEDI,67.54,67.02702702702703,float64,float64,-0.5129729729729746
FLOORSMIN_AVG,67.54,67.02702702702703,float64,float64,-0.5129729729729746
FLOORSMIN_MODE,67.54,67.02702702702703,float64,float64,-0.5129729729729746
ENTRANCES_AVG,50.44,49.72972972972973,float64,float64,-0.7102702702702643
ENTRANCES_MODE,50.44,49.72972972972973,float64,float64,-0.7102702702702643
ENTRANCES_MEDI,50.44,49.72972972972973,float64,float64,-0.7102702702702643
NONLIVINGAPARTMENTS_MEDI,68.78999999999999,67.83783783783784,float64,float64,-0.9521621621621534
NONLIVINGAPARTMENTS_AVG,68.78999999999999,67.83783783783784,float64,float64,-0.9521621621621534
NONLIVINGAPARTMENTS_MODE,68.78999999999999,67.83783783783784,float64,float64,-0.9521621621621534
ELEVATORS_MEDI,52.980000000000004,51.621621621621614,float64,float64,-1.35837837837839
ELEVATORS_AVG,52.980000000000004,51.621621621621614,float64,float64,-1.35837837837839
ELEVATORS_MODE,52.980000000000004,51.621621621621614,float64,float64,-1.35837837837839
BASEMENTAREA_MODE,58.81999999999999,57.2972972972973,float64,float64,-1.522702702702695
BASEMENTAREA_AVG,58.81999999999999,57.2972972972973,float64,float64,-1.522702702702695
BASEMENTAREA_MEDI,58.81999999999999,57.2972972972973,float64,float64,-1.522702702702695
EXT_SOURCE_3,19.28,17.56756756756757,float64,float64,-1.7124324324324327
NONLIVINGAREA_AVG,54.769999999999996,52.702702702702695,float64,float64,-2.0672972972973014
NONLIVINGAREA_MODE,54.769999999999996,52.702702702702695,float64,float64,-2.0672972972973014
NONLIVINGAREA_MEDI,54.769999999999996,52.702702702702695,float64,float64,-2.0672972972973014
COMMONAREA_MEDI,69.42,67.29729729729729,float64,float64,-2.1227027027027106
COMMONAREA_AVG,69.42,67.29729729729729,float64,float64,-2.1227027027027106
COMMONAREA_MODE,69.42,67.29729729729729,float64,float64,-2.1227027027027106
AMT_REQ_CREDIT_BUREAU_WEEK,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
AMT_REQ_CREDIT_BUREAU_HOUR,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
AMT_REQ_CREDIT_BUREAU_YEAR,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
AMT_REQ_CREDIT_BUREAU_DAY,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
AMT_REQ_CREDIT_BUREAU_QRT,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
AMT_REQ_CREDIT_BUREAU_MON,12.959999999999999,9.72972972972973,float64,float64,-3.2302702702702693
bureau_count,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_debt_sum,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_credit_sum,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_active_count,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_days_credit_mean,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_credit_mean,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_worst_status,13.86,10.54054054054054,float64,float64,-3.319459459459459
bureau_debt_mean,16.04,12.702702702702704,float64,float64,-3.3372972972972956
OCCUPATION_TYPE,31.019999999999996,26.216216216216214,str,str,-4.803783783783782
OWN_CAR_AGE,66.05,60.0,float64,float64,-6.049999999999997
EXT_SOURCE_1,55.83,48.91891891891892,float64,float64,-6.911081081081079
